Title,Authors,Year,Citations,Categories
Distributed Photovoltaic Power Prediction Based on Spatio-Temporal Diffusion Graph Convolution with Dynamic Graph Networks,"Peijie, Liu; Shuiqiang, Zou; Huanhuan, Ye; Wensi, Lai; Simiao, Yu; Chunyu, Tao; Chunhui, Dong",2024,0,General
Physics-Informed Graphical Neural Network for Parameter & State Estimations in Power Systems,"Pagnier, Laurent; Chertkov, Michael",2021,0,General
Unsupervised Optimal Power Flow Using Graph Neural Networks,"Owerko, Damian; Gama, Fernando; Ribeiro, Alejandro",2024,0,General
Unsupervised Optimal Power Flow Using Graph Neural Networks,"Owerko, Damian; Gama, Fernando; Ribeiro, Alejandro",2022,0,General
Physics-informed graphical neural network for power system state estimation,"Ngo, Quang-Ha; Nguyen, Bang L. H.; Vu, Tuyen V.; Zhang, Jianhua; Ngo, Tuan",2024,0,General
Graph Neural Network and Koopman Models for Learning Networked Dynamics: A Comparative Study on Power Grid Transients Prediction,"Nandanoori, Sai Pushpak; Guan, Sheng; Kundu, Soumya; Pal, Seemita; Agarwal, Khushbu; Wu, Yinghui; Choudhury, Sutanay",2022,0,General
Topology-Aware Neural Networks for Fast Contingency Analysis of Power Systems,"Nakiganda, Agnes M.; Cheylan, Catherine; Chatzivasileiadis, Spyros",2023,0,General
A multi-rate sampling PMU-based event classification in active distribution grids with spectral graph neural network,"MansourLakouraj, Mohammad; Gautam, Mukesh; Livani, Hanif; Benidris, Mohammed",2022,0,General
Graph Convolutional Networks based short-term load forecasting: Leveraging spatial information for improved accuracy,"Mansoor, Haris; Gull, Muhammad Shuzub; Rauf, Huzaifa; Shaikh, Inam ul Hasan; Khalid, Muhammad; Arshad, Naveed",2024,0,General
Multi-Scales Hybrid Graph Attention Neural Network with Jaccard Correlation Embedding for Link Prediction,"Mai, C.; Lin, J.; Zheng, H.; Zhang, H.; Bi, J.; Zhou, J.",2024,0,General
Multi-Scope Spectral Graph Neural Network for Link Scheduling,"Mai, C.; Lin, J.; Zhang, W.",2024,0,General
Bi-Order Graph Attention Neural Network with Neighbor Node Correlation Embedding for Link Prediction,"Mai, C.; Lin, J.; Zhang, W.",2024,0,General
Graph Neural Network Based Deep Reinforcement Learning for Volt - Var Control in Distribution Grids,"MA, Aoxiang; CAO, Jun; CORTES, Pedro RODRIGUEZ",2024,0,General
A Graph Neural Network and Transformer Encoder Technique for Anomaly and Cyber Threat Detection in Smart Grids,"M, Lakshmanan; Adnan, Myasar Mundher; Reddy, R. Archana; Vasukidevi, G; G, Aarthy",2024,0,General
Power flow analysis via typed graph neural networks,"Lopez-Garcia, Tania B.; Domínguez-Navarro, José A.",2023,0,General
Proximal Policy Optimization with Graph Neural Networks for Optimal Power Flow,"López-Cardona, Ángela; Bernárdez, Guillermo; Barlet-Ros, Pere; Cabellos-Aparicio, Albert",2022,0,General
Research on Power Balance and Measurement of New Energy Power System Based on Graph Neural Network,"Liyan, K.; He, C.; Leiyang, Z.",2024,0,General
A GNN-Based Generative Model for Generating Synthetic Cyber-Physical Power System Topology,"Liu, Yigu; Xie, Haiwei; Presekal, Alfan; Stefanov, Alexandru; Palensky, Peter",2023,0,General
Research on the Application of Graph Neural Network in Topology Optimization of Distribution Network,"Liu, Y.; Wang, X.; Guo, Y.; Wang, R.",2024,0,General
Graph Neural Networks for Learning Real-Time Prices in Electricity Market,"Liu, Shaohui; Wu, Chengyang; Zhu, Hao",2021,0,General
Security Constrained Unit Commitment Optimization Based on Graph Reinforcement Learning,"Liu, J.; Pan, L.L.; Xu, P.; Sun, P.",2024,0,General
Enhancing Power Distribution System Resilience with Fusion-GNN: A Dynamic Graph Representation Learning Approach,"Liu, B.; Zhang, C.; Dong, J.; Balaprakash, P.; Liu, Y.; Eiffert, B.",2024,0,General
Spatial-Temporal Residential Short-Term Load Forecasting via Graph Neural Networks,"Lin, Weixuan; Wu, Di; Boulet, Benoit",2021,0,General
Fault Diagnosis of Power Transformers Using Graph Convolutional Network,"Liao, Wenlong; Yang, Dechang; Wang, Yusen; Ren, Xiang",2021,0,General
A Review of Graph Neural Networks and Their Applications in Power Systems,"Liao, Wenlong; Bak-Jensen, Birgitte; Pillai, Jayakrishnan Radhakrishna; Wang, Yuelong; Wang, Yusen",2022,0,General
Power data analysis and mining technology in smart grid,"Li, Xinjia; Zhu, Zixu; Zhang, Chongchao; Zhang, Yangrui; Liu, Mengjia; Wang, Liming",2024,0,General
A Transient Angle Stability Assessment Method for DFIG Grid-Connected Systems Based on Heterogeneous Graph Attention Networks,"Li, Xianzhen; Qin, Wenping; Zhu, Zhilong; Lu, Ruipeng; Qin, Penghui; Cui, Junjie",2024,0,General
SFLGNN: Power Load Forecasting Based on Spectral-Frequency Learning and Graph Neural Network,"Li, X.; Wei, X.; Liu, Z.; Xie, S.; Sun, J.; Qin, H.; Wei, Z.",2024,0,General
Type Information Utilized Event Detection via Multi-Channel GNNs in Electrical Power Systems,"Li, Qian; Li, Jianxin; Wang, Lihong; Ji, Cheng; Hei, Yiming; Sheng, Jiawei; Sun, Qingyun; Xue, Shan; Xie, Pengtao",2022,0,General
A Novel State Estimation Method Based on Cross-Track Graph Neural Network,"Li, P.; Huang, W.; Li, X.; Dai, Z.; Hou, J.; Feng, Q.",2024,0,General
An interpretable graph convolutional neural network based fault diagnosis method for building energy systems,"Li, G.; Yao, Z.; Chen, L.; Li, T.; Xu, C.",2024,0,General
Optimal Power Flow in a highly renewable power system based on attention neural networks,"Li, Chen; Kies, Alexander; Zhou, Kai; Schlott, Markus; Sayed, Omar El; Bilousova, Mariia; Stöcker, Horst",2024,0,General
PDHG-Unrolled Learning-to-Optimize Method for Large-Scale Linear Programming,"Li, Bingheng; Yang, Linxin; Chen, Yupeng; Wang, Senmiao; Chen, Qian; Mao, Haitao; Ma, Yao; Wang, Akang; Ding, Tian; Tang, Jiliang; Sun, Ruoyu",2024,0,General
Reinforcement Learning Optimizes Power Dispatch in Decentralized Power Grid,"Lee, Yongsun; Choi, Hoyun; Pagnier, Laurent; Kim, Cook Hyun; Lee, Jongshin; Jhun, Bukyoung; Kim, Heetae; Kurths, Juergen; Kahng, B.",2024,0,General
A graph policy network approach for Volt-Var Control in power distribution systems,"Lee, Xian Yeow; Sarkar, Soumik; Wang, Yubo",2022,0,General
State Estimation in Electric Power Systems Leveraging Graph Neural Networks,"Kundacina, Ognjen; Cosovic, Mirsad; Vukobratovic, Dejan",2022,0,General
Robust and Fast Data-Driven Power System State Estimator Using Graph Neural Networks,"Kundacina, Ognjen; Cosovic, Mirsad; Vukobratovic, Dejan",2022,0,General
Distributed Nonlinear State Estimation in Electric Power Systems using Graph Neural Networks,"Kundacina, Ognjen; Cosovic, Mirsad; Miskovic, Dragisa; Vukobratovic, Dejan",2022,0,General
Fault Detection in Solar Power System with Internet of Things using Multi resolution Sinusoidal Neural Network - Snow Geese Optimization Approach,"Kumar, P.; Purushothaman, K.E.; Arunmozhi, R.V.; Jayachitra, S.; Rani, D.L.; Kaliappan, S.",2024,0,General
Real-Time Small-Signal Security Assessment Using Graph Neural Networks,"Justin, Glory; Paternain, Santiago",2024,0,General
Short-Term Power Load Forecasting Under COVID-19 Based on Graph Representation Learning With Heterogeneous Features,"Yu, Z.; Yang, J.; Wu, Y.; Huang, Y.",2021,0,General
Question Answering Algorithm for Grid Fault Diagnosis based on Graph Neural Network,"Yu, Y.; Wang, Y.; Zhang, G.; Yang, Y.; Wang, J.",2022,0,General
Self-Supervised State Calculation for Distribution Network via Masked Graph Reconstruction,"Yu, T.; Wang, Q.; Chu, H.; Xiong, X.; Huang, K.; Qiu, R.; Hu, B.; Yan, H.; Wang, F.; Bai, Y.; Wang, S.; Qi, J.; Liu, S.; Shi, D.; IEEE",2023,0,General
A Graph Reinforcement Learning-Based Handover Strategy for Low Earth Orbit Satellites under Power Grid Scenarios,"Yu, H.; Gao, W.; Zhang, K.",2024,0,General
Advancing Cyber-Attack Detection in Power Systems: A Comparative Study of Machine Learning and Graph Neural Network Approaches,"Yin, T.; Naqvi, S.A.R.; Nandanoori, S.P.; Kundu, S.",2024,0,General
Switching Convolution of Node Graph and Line Graph-driven Method for Fast Static Security Analysis,"Ye, X.; Chen, Z.; Huang, Y.; Zhu, T.; Wei, W.; Liao, B.; Jiang, A.; Chongqing Society of Electrical Engineering; Sichuan University; Southwest Jiaotong University; State Grid Sichuan Electric Power Company",2023,0,General
Forecasting day-ahead electricity prices with spatial dependence,"Yang, Y.; Guo, J.; Li, Y.; Zhou, J.",2023,0,General
Transient Voltage Prediction Method Based on Spatial-Temporal Graph Convolutional Network,"Yang, X.; Dong, Y.; Wang, J.; Wang, C.; IEEE",2022,0,General
Advanced Persistent Threat Detection in Smart Grid Clouds Using Spatiotemporal Context-Aware Graph Embedding,"Yang, W.; Gao, P.; Huang, H.; Wei, X.; Zhang, H.; Qu, Z.",2022,0,General
Transient stability assessment of power systems with graph neural networks considering global features,"Yang, S.; Ding, M.; Wtuan, Z.; Yang, H.; Liu, Y.; Fan, W.",2023,0,General
Data-Driven Priors for Robust PSSE via Gauss-Newton Unrolled Neural Networks,"Yang, Q.; Sadeghi, A.; Wang, G.",2022,0,General
Wind Power Forecasting Based on a Spatial-Temporal Graph Convolution Network with Limited Engineering Knowledge,"Yang, L.; Tsung, F.; Wang, K.; Zhou, J.",2024,0,General
Multi-label image recognition for electric power equipment inspection based on multi-scale dynamic graph convolution network,"Yan, Y.; Han, Y.; Qi, D.; Lin, J.; Yang, Z.; Jin, L.",2023,0,General
Rapid Active Power Support by Regional PV Aggregation Considering Physical Topological Correlation and Communication Delay,"Yan, T.; Dou, C.; Yue, D.; Guo, W.; He, Z.",2024,0,General
Predicting Power System Voltage Health Index with PMUs and Graph Convolutional Networks,"Yamashita, K.; Qin, J.; Yu, N.; Farantatos, E.; Zhu, L.",2023,0,General
Anomaly detection based on a deep graph convolutional neural network for reliability improvement,"Xu, G.; Hu, J.; Qie, X.; Rong, J.",2024,0,General
Graph-Based Time Series Edge Anomaly Detection in Smart Grid,"Xu, A.; Wu, T.; Zhang, Y.; Hu, Z.; Jiang, Y.; IEEE; IEEE Computer Society; IEEE STC Smart Computing; IEEE TCSC; Longxiang High Tech; North America Chinese Talents Association",2021,0,General
Detection of Fittings Based on the Dynamic Graph CNN and U-Net Embedded with Bi-Level Routing Attention,"Xie, Z.; Fu, M.; Liu, X.",2023,0,General
Graph neural network approach for anomaly detection,"Xie, L.; Pi, D.; Zhang, X.; Chen, J.; Luo, Y.; Yu, W.",2021,0,General
Deep Learning in Power Grid Enterprises to Help the Construction of New Energy Industry Chain Path Analysis,"Xiao, S.; Li, Q.; Yuan, Y.",2023,0,General
Locational Detection of False Data Injection Attacks in the Edge Space via Hodge Graph Neural Network for Smart Grids,"Xia, W.; Li, Y.; Yu, L.; He, D.",2024,0,General
State Estimation for Power System Based on Graph Neural Network,"Wu, Z.; Wang, Q.; Liu, X.; China Electrotechnical Society (CES); Institute of Electrical nd Electronics Engineers (IEEE) Beijing Section; Southeast University (SEU)",2022,0,General
Integrating model-driven and data-driven methods for fast state estimation,"Wu, Z.; Wang, Q.; Hu, J.; Tang, Y.; Zhang, Y.",2022,0,General
Spatial–temporal short-term load forecasting framework via K-shape time series clustering method and graph convolutional networks,"Wu, Z.; Mu, Y.; Deng, S.; Li, Y.",2022,0,General
Attentive multi-scale aggregation based action recognition and its application in power substation operation training,"Wu, Y.; Ren, G.; Jiang, B.; Dai, W.; Ji, N.; Chen, X.",2023,0,General
Spatio-Temporal Graph Convolutional Neural Networks for Physics-Aware Grid Learning Algorithms,"Wu, T.; Carreno, I.L.; Scaglione, A.; Arnold, D.",2023,0,General
Identification and correction of abnormal measurement data in power system based on graph convolutional network and gated recurrent unit,"Wu, L.; Zhang, S.; Chen, W.; Hao, X.",2023,0,General
Unrolled Spatiotemporal Graph Convolutional Network for Distribution System State Estimation and Forecasting,"Wu, H.; Xu, Z.; Wang, M.",2023,0,General
Graph Attention Enabled Convolutional Network for Distribution System Probabilistic Power Flow,"Wu, H.; Wang, M.; Xu, Z.; Jia, Y.",2022,0,General
Adaptive Graph Convolutional Network-Based Distribution System State Estimation,"Wu, H.; Jia, Y.; Xu, Z.",2022,0,General
Detecting False Data Injection Attacks using Spatial-temporal Graph Neural Network,"Wei, X.; Liu, W.; Zhou, J.; Zhou, X.; Zhang, W.; Cao, Y.; Beijing Information Science and Technology University; CAA; et al.; IEEE Beijing Section; Qingdao University; Technical Committee on Data Driven Control, Learning and Optimization (DDCLO)",2023,0,General
Research on Attack Behaviour Detection Based on Dynamic Graph Neural Network in Power IoT System,"Wei, X.; Gao, P.; Xu, J.; Zhang, H.; Tian, Q.; Ma, Z.; Academic Exchange Information Center",2022,0,General
A novel spatial electric load forecasting method based on LDTW and GCN,"Wei, M.; wen, M.; Zhang, Y.",2024,0,General
Parameter Identification in Power Transmission Systems Based on Graph Convolution Network,"Wang, Z.; Xia, M.; Lu, M.; Pan, L.; Liu, J.",2022,0,General
Application of Multiattention Mechanism in Power System Branch Parameter Identification,"Wang, Z.; Weng, L.; Lu, M.; Liu, J.; Pan, L.",2021,0,General
Temporal Graph Super Resolution on Power Distribution Network Measurements,"Wang, Z.; Chen, Y.; Huang, S.; Zhang, X.; Liu, X.",2021,0,General
Graph Learning-Based Voltage Regulation in Distribution Networks With Multi-Microgrids,"Wang, Y.; Qiu, D.; Wang, Y.; Sun, M.; Strbac, G.",2024,0,General
Research and application of automatic mapping method of distribution network protection power supply based on knowledge graph and graph convolution network,"Wang, Y.; Mo, L.; Wang, W.; Wei, J.; Yang, J.",2024,0,General
Spatio-Temporal Convolutional Network Based Identification of Voltage-Coupling Commutation Failures in Multi-Infeed HVDC Systems,"Wang, X.; Lin, R.; Song, K.; Han, J.",2022,0,General
Wind Power Prediction Based on Spatio-Temporal Characteristics,"Wang, W.; Zhang, T.; Chinese Society for Electrical Engineering; IEEE Power and Energy Society; State Grid Corporation of China",2023,0,General
Predict Locational Marginal Greenhouse Gas Emission Factors of Electricity with Spatial-Temporal Graph Convolutional Networks,"Wang, W.; Li, Y.; Yu, N.; ENEDIS; et al.; GreenAlp; Le Reseau de Transport d'electricite (RTE); Schneider Electric; Think Smartgrids",2023,0,General
Comprehensive evaluation of power flow and adjustment method to restore solvability based on GCRNN and DDQN,"Wang, T.; Tang, Y.",2021,0,General
Predicting electric vehicle charging demand using a heterogeneous spatio-temporal graph convolutional network,"Wang, S.; Chen, A.; Wang, P.; Zhuge, C.",2023,0,General
Risk Early Warning of Power Systems With Partial State Observations Based on the Graph Attention Neural Network,"Wang, Q.; Li, D.; Zhang, X.; Fan, X.; et al.; Huawei; IEEE; IEEE Circuits and Systems Society (CAS); Samsung Semiconductor; Synopsys",2023,0,General
Synchronous Condenser Reactive Power Output Model Based on DAG-CNN,"Wang, L.; Wang, H.; Lu, T.; Wang, C.; IEEE",2021,0,General
M2STAN: Multi-modal multi-task spatiotemporal attention network for multi-location ultra-short-term wind power multi-step predictions,"Wang, L.; He, Y.",2022,0,General
GCNInformer: A combined deep learning model based on GCN and Informer for wind power forecasting,"Wang, H.-K.; Li, D.; Chen, F.; Du, J.; Song, K.",2023,0,General
Real-time small-signal security assessment using graph neural networks,"Justin, G.; Paternain, S.",2024,0,General
Graph Neural Networks for Power System Security Assessment,"Justin, G.; Paternain, S.",2024,0,General
Physics-Informed Heterogeneous Graph Neural Networks for DC Blocker Placement,"Jin, Hongwei; Balaprakash, Prasanna; Zou, Allen; Ghysels, Pieter; Krishnapriyan, Aditi S.; Mate, Adam; Barnes, Arthur; Bent, Russell",2024,0,General
Applications of Graph Computing and Graph Neural Networks in Power Systems: A Survey,"Jiangang, Lu; Huijuan, Tan; Ruifeng, Zhao; Wenxin, Guo; Zhen, Dai; Ping, Li",2024,0,General
Prediction and mitigation of nonlocal cascading failures using graph neural networks,"Jhun, Bukyoung; Choi, Hoyun; Lee, Yongsun; Lee, Jongshin; Kim, Cook Hyun; Kahng, B.",2023,0,General
Power System Transient Stability Assessment Method Based on Optimized Time-Spectral Graphical Neural Network,"Huangfu, H.; Wang, Y.; Lin, H.",2024,0,General
Study of Total Transfer Capability Based on Deep Learning Theory,"Huang, Y.; Chen, J.; Cai, D.; Wang, E.",2024,0,General
A Power Forecasting Method in Multiple Time Scales Based on Attention Mechanism and Spatiotemporal Correlation Graph Convolutional Neural Network,"Huang, Wei; Yin, Shaoyang; Shi, Jianfeng; Zhou, Hanyu; Ding, Ruoyang; Tian, Xing; Tang, Mingfu; Gao, Lengshan; Wu, Jiayu",2024,0,General
A Knowledge Graph Completion Method for the Power Transformer Based on Graph Neural Network and TransR,"He, Hongying; Luo, Guangwei; Zhu, Jizhong; Luo, Diansheng; Liang, Wenju; Liu, Nan",2024,0,General
Resilient Temporal GCN for Smart Grid State Estimation Under Topology Inaccuracies,"Haghshenas, Seyed Hamed; Naeini, Mia",2024,0,General
Deep Statistical Solver for Distribution System State Estimation,"Habib, Benjamin; Isufi, Elvin; van Breda, Ward; Jongepier, Arjen; Cremer, Jochen L.",2024,0,General
Power System Transient Stability Assessment Based on Graph Neural Network with Interpretable Attribution Analysis,"Gu, Sili; Qiao, Ji; Zhao, Zixuan; Zhu, Qiongfeng; Han, Fujia",2022,0,General
PowerFlowMultiNet: Multigraph Neural Networks for Unbalanced Three-Phase Distribution Systems,"Ghamizi, Salah; Cao, Jun; Ma, Aoxiang; Rodriguez, Pedro",2024,0,General
SafePowerGraph: Safety-aware Evaluation of Graph Neural Networks for Transmission Power Grids,"Ghamizi, Salah; Bojchevski, Aleksandar; Ma, Aoxiang; Cao, Jun",2024,0,General
Knowledge- and Data-driven Services for Energy Systems using Graph Neural Networks,"Fusco, Francesco; Eck, Bradley; Gormally, Robert; Purcell, Mark; Tirupathi, Seshu",2021,0,General
A Frequency Stability Prediction Method Using Spatial Temporal Graph Convolutional Networks and Self-attention Mechanism,"Feng, K.; Zhou, H.; Qin, W.; Han, S.; Rong, N.; Du, D.; He, Y.; Yang, C.",2024,0,General
Short-term Charging Quantity Prediction of Charging Stations Based on Graph Neural Networks,"Feng, B.; Li, X.; Hou, Z.; Mao, J.; Liu, W.",2024,0,General
Fault Location Method of Distribution Network Based on VGAE-GraphSAGE,"Fan, M.; Xia, J.; Zhang, H.; Zhang, X.",2024,0,General
Generalized FDIA Detection in Power Dependent Electrified Transportation Systems,"Fahim, Shahriar Rahman; Atat, Rachad; Kececi, Cihat; Takiddin, Abdulrahman; Ismail, Muhammad; Davis, Katherine R.; Serpedin, Erchin",2024,0,General
Improved Physics-Informed Neural Network based AC Power Flow for Distribution Networks,"Eeckhout, V.; Fani, H.; Hashmi, M.U.; Deconinck, G.",2024,0,General
Graph Neural Network-Based Node Clustering for Dual-Focused Power Network Partitioning,"Eddin, M.E.; Massaoudi, M.; Abu-Rub, H.; Shadmand, M.; Abdallah, M.",2024,0,General
Graph Neural Solver for Power Systems,"Donon, Balthazar; Donnot, Benjamin; Guyon, Isabelle; Marot, Antoine",2019,0,General
Controlled Islanding of Power Systems Based on Structural Deep Clustering Network,"Ding, Lijie; Shi, Huabo; Wang, Yongcan; Wang, Xi; Liu, Tingjian; Duan, Longxiang",2024,0,General
An interpretable graph neural network for real-world satellite power system anomaly detection based on graph filtering,"Di, Y.; Wang, F.; Zhao, Z.; Zhai, Z.; Chen, X.",2024,0,General
Graph Neural Network Framework for Security Assessment Informed by Topological Measures,"Dezvarei, Mojtaba; Tomsovic, Kevin; Sun, Jinyuan Stella; Djouadi, Seddik M.",2023,0,General
Initial estimate of AC optimal power flow with graph neural networks,"Deihim, A.; Apostolopoulou, D.; Alonso, E.",2024,0,General
Physics-informed geometric deep learning for inference tasks in power systems,"de Jongh, Steven; Gielnik, Frederik; Mueller, Felicitas; Schmit, Loris; Suriyah, Michael; Leibfried, Thomas",2022,0,General
Solar Power Prediction Based on Satellite Measurements – A Graphical Learning Method for Tracking Cloud Motion,"Cheng, Lilin; Zang, Haixiang; Wei, Zhinong; Ding, Tao; Sun, Guoqiang",2022,0,General
Three-Phase Unbalance Control Method in Distribution Network Based on Model Predictive Control,"Cheng, Cheng; Zhou, Guizhen; Ye, Chao; Ma, Yue; Lu, Haipeng",2024,0,General
Learning Power System Vulnerabilities through Multi-View Topological Neural Networks,"Chen, Y.; Wang, S.; Du, L.",2024,0,General
Graph Neural Network-Based Wind Farm Cluster Speed Prediction,"Chen, Ruifeng; Liu, Jiaming; Wang, Fei; Ren, Hui; Zhen, Zhao",2020,0,General
Real-time Multi-stability Risk Assessment and Visualization of Power Systems: A Graph Neural Network-based Method,"Chen, Q.; Bu, S.; Wang, H.; Lei, C.",2024,0,General
A Method for Anomaly Detection in Power Energy Topology Graph Data Based on Domain Knowledge Graph and Graph Neural Networks,"Chen, M.; Yang, S.; Dai, W.; Wang, Z.; Xu, J.",2024,0,General
Powerformer: A Section-adaptive Transformer for Power Flow Adjustment,"Chen, Kaixuan; Luo, Wei; Liu, Shunyu; Wei, Yaoquan; Zhou, Yihe; Qing, Yunpeng; Zhang, Quan; Song, Jie; Song, Mingli",2024,0,General
Research on Optimization of Distribution Network Connection Mode Based on Graph Neural Network and Genetic Algorithm,"Chen, G.; Hui, W.; Huan, Y.; Bingchen, L.; Xingxing, Z.",2024,0,General
A Temporal Ensembling Based Semi-Supervised Graph Convolutional Network for Power Quality Disturbances Classification,"Cai, J.; Wang, H.; Jiang, H.",2024,0,General
Joint Detection and Localization of Stealth False Data Injection Attacks in Smart Grids using Graph Neural Networks,"Boyaci, Osman; Narimani, Mohammad Rasoul; Davis, Katherine; Ismail, Muhammad; Overbye, Thomas J.; Serpedin, Erchin",2022,0,General
Solving AC Power Flow with Graph Neural Networks under Realistic Constraints,"Böttcher, Luis; Wolf, Hinrikus; Jung, Bastian; Lutat, Philipp; Trageser, Marc; Pohl, Oliver; Ulbig, Andreas; Grohe, Martin",2023,0,General
Robust Sampling Methods for Accurate Power Flow Time-Sweep Approximations with Graph Neural Networks,"Bolz, Valentin; Rueβ, Johannes; Zell, Andreas",2024,0,General
Power Flow Approximation Based on Graph Convolutional Networks,"Bolz, Valentin; Rueß, Johannes; Zell, Andreas",2019,0,General
Cascading Failure Prediction in Power Grid Using Node and Edge Attributed Graph Neural Networks,"Bhaila, Karuna; Wu, Xintao",2024,0,General
Real-time AI-based Line-Line Fault Detection and Localization in Power Electronics Dominated Grids,"Baker, M.; Shadmand, M.B.",2024,0,General
Anomaly Detection of Electrical Load in Power Systems Based on Graph Neural Networks,"Bai, S.",2024,0,General
Accelerating Power Flow Calculations in LV Networks Using Physics-Informed Graph Neural Networks,"Azam, F.; Hermans, C.; Becker, T.; D'Hulst, R.; Vanthournout, K.; Deconinck, G.",2024,0,General
Physics-informed Graph Neural Network for Dynamic Reconfiguration of power systems,"Authier, J.; Haider, R.; Annaswamy, A.; Dörfler, F.",2024,0,General
Determining Feasibility of DC Power Flow Using Graph Neural Networks,"Alduaij, H.; Zhang, B.; Weng, Y.",2024,0,General
Forecasting of Short-Term Load Using the MFF-SAM-GCN Model,"Zou, Y.; Feng, W.; Zhang, J.; Li, J.",2022,0,General
A short-term voltage stability online prediction method based on graph convolutional networks and long short-term memory networks,"Wang, G.; Zhang, Z.; Bian, Z.; Xu, Z.",2021,0,General
Power System Network Topology Identification Based on Knowledge Graph and Graph Neural Network,"Wang, Changgang; An, Jun; Mu, Gang",2021,0,General
Power system emergency control strategy based on severely disturbed units identification and STGCN-DDQN,"Wang, B.; Tang, Y.; Huang, Y.; Wang, T.",2024,0,General
A Lightweight Graph-based Convolutional Neural Network for Fault Correlation Analysis in Power Systems,"Wang, B.; Feng, L.; Tan, Y.; Xu, H.; Xu, J.; IEEE",2023,0,General
Research on vulnerability assessment method of electric power network based on graph neural,"Wan, Z.; Liu, X.; Zhang, Y.; Wang, Y.; Zeng, Y.",2023,0,General
A graph neural network based fault diagnosis strategy for power communication networks,"Wan, Z.; Lin, L.; Huang, Y.; Wang, X.",2024,0,General
Reinforcement Learning-Empowered Graph Convolutional Network Framework for Data Integrity Attack Detection in Cyber-Physical Systems,"Vincent, E.; Korki, M.; Seyedmahmoudian, M.; Stojcevski, A.; Mekhilef, S.",2024,0,General
Detection of false data injection attacks in cyber–physical systems using graph convolutional network,"Vincent, E.; Korki, M.; Seyedmahmoudian, M.; Stojcevski, A.; Mekhilef, S.",2023,0,General
Explainable Spatio-Temporal Graph Neural Networks for multi-site photovoltaic energy production,"Verdone, A.; Scardapane, S.; Panella, M.",2024,0,General
Cascades-Risk Informed Transmission Expansion Planning by Behavioural Cloning,"Varbella, A.; Gjorgiev, B.; Sansavini, G.; Zio, E.",2023,0,General
Graph Neural Network-Based Power Flow Model,"Tuo, M.; Li, X.; Zhao, T.",2023,0,General
Distributed resource power aggregation prediction considering photovoltaic and wind power,"Tang, X.; Zeng, Z.; Sibo, B.; Teng, C.; Li, H.; Cheng, J.",2023,0,General
AIGCN: Attack Intention Detection for Power System Using Graph Convolutional Networks,"Tang, Q.; Chen, H.; Ge, B.; Wang, H.",2022,0,General
Spatial-Temporal Wind Power Probabilistic Forecasting Based on Time-Aware Graph Convolutional Network,"Tang, J.; Liu, Z.; Hu, J.",2024,0,General
Power system topological node tamper detection method based on fuzzy graph theory,"Tan, H.; Guo, W.; Li, S.; Zheng, W.; Li, Q.",2024,0,General
Robust Graph Autoencoder-Based Detection of False Data Injection Attacks Against Data Poisoning in Smart Grids,"Takiddin, A.; Ismail, M.; Atat, R.; Davis, K.R.; Serpedin, E.",2024,0,General
Graph Autoencoder-Based Detection of Unseen False Data Injection Attacks in Smart Grids,"Takiddin, A.; Ismail, M.; Atat, R.; Davis, K.R.; Serpedin, E.",2024,0,General
Generalized Graph Neural Network-Based Detection of False Data Injection Attacks in Smart Grids,"Takiddin, A.; Atat, R.; Ismail, M.; Boyaci, O.; Davis, K.R.; Serpedin, E.",2023,0,General
