Publication Year,Author,Title,Url,Date,Extra,Manual Tags
2024,"Ngo, Quang-Ha; Nguyen, Bang L. H.; Vu, Tuyen V.; Zhang, Jianhua; Ngo, Tuan",Physics-informed graphical neural network for power system state estimation,https://www.sciencedirect.com/science/article/pii/S0306261923019669,3/15/24,17 citations (Semantic Scholar/DOI) [2025-04-09] 21 citations (Crossref/DOI) [2025-04-07] 21 citations (Crossref) [2025-04-02],#done; Graph neural networks; notion; Kalman filter; Physics-informed neural networks; Dynamic state estimation; #grid-analysis
2023,"Nakiganda, Agnes M.; Cheylan, Catherine; Chatzivasileiadis, Spyros",Topology-Aware Neural Networks for Fast Contingency Analysis of Power Systems,http://arxiv.org/abs/2310.04213,11/10/23,"2 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2310.04213 [cs, eess]",#done; notion; #faults-reliability
2022,"MansourLakouraj, Mohammad; Gautam, Mukesh; Livani, Hanif; Benidris, Mohammed",A multi-rate sampling PMU-based event classification in active distribution grids with spectral graph neural network,https://www.sciencedirect.com/science/article/pii/S0378779622003662,10/1/22,21 citations (Semantic Scholar/DOI) [2025-11-26] 18 citations (Semantic Scholar/DOI) [2025-04-09] 17 citations (Crossref/DOI) [2025-04-07] 17 citations (Crossref) [2025-04-02],#done; notion; #faults-reliability
2024,"Mai, C.; Lin, J.; Zheng, H.; Zhang, H.; Bi, J.; Zhou, J.",Multi-Scales Hybrid Graph Attention Neural Network with Jaccard Correlation Embedding for Link Prediction,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Graph neural networks; Auto encoders; Neural-networks; Prediction models; Hybrid graphs; Embeddings; Prediction methods; Graph embeddings; Network embeddings; Multi-scales; graph attention neural network; graph auto-encoder; link prediction; Signal encoding; Graph auto-encoder; Graph attention neural network; Link prediction; Prediction tasks; #grid-analysis
2024,"Mai, C.; Lin, J.; Zhang, W.",Multi-Scope Spectral Graph Neural Network for Link Scheduling,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Graph neural networks; Graph neural network; Graph algorithms; Deep learning; Deep reinforcement learning; Reinforcement learning; Network theory (graphs); Graph embeddings; Network embeddings; Network frameworks; Conflict graph; Feature embedding; Graph features; Greedy algorithms; link scheduling; Link scheduling; Maximum weighted independent set; Scales (weighing instruments); Scheduling algorithms; Set solvers; Utility functions; #optimization-control
2024,"Mai, C.; Lin, J.; Zhang, W.",Bi-Order Graph Attention Neural Network with Neighbor Node Correlation Embedding for Link Prediction,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Graph neural networks; Auto encoders; Neural-networks; Prediction models; Embeddings; Graph embeddings; Network embeddings; Node correlations; graph attention neural network; graph auto-encoder; link prediction; Signal encoding; Graph auto-encoder; Order graph; Graph attention neural network; Link prediction; Neighbour nodes; #grid-analysis
2024,"MA, Aoxiang; CAO, Jun; CORTES, Pedro RODRIGUEZ",Graph Neural Network Based Deep Reinforcement Learning for Volt - Var Control in Distribution Grids,https://ieeexplore.ieee.org/document/10667392/?arnumber=10667392,2024-06,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02] ISSN: 2329-5767,#done; Graph neural networks; Network-based; Power distribution networks; Power; Stable operation; Graph neural network; Smart grid; Deep reinforcement learning; distributed network; Distributed networks; Distribution grid; Reinforcement learnings; Volt/var control; voltage reactive power control; Voltage/reactive power control; #optimization-control
2024,"M, Lakshmanan; Adnan, Myasar Mundher; Reddy, R. Archana; Vasukidevi, G; G, Aarthy",A Graph Neural Network and Transformer Encoder Technique for Anomaly and Cyber Threat Detection in Smart Grids,https://ieeexplore.ieee.org/document/10721753/?arnumber=10721753,2024-08,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Convolutional neural networks; Power grids; Graph neural networks; graph neural network; Smart grid; anomaly detection; Anomaly detection; Cyber attacks; Threat detection; Smart power grids; smart grids; Vulnerability; Cyber threats; Integrating information; long-range dependencies; Long-range dependencies; Steganography; transformer encoder; Transformer encoder; vulnerabilities; #cybersecurity
2023,"Lopez-Garcia, Tania B.; Domínguez-Navarro, José A.",Power flow analysis via typed graph neural networks,https://www.sciencedirect.com/science/article/pii/S0952197622005577,1/1/23,21 citations (Semantic Scholar/DOI) [2025-04-09] 18 citations (Crossref/DOI) [2025-04-07] 13 citations (Crossref) [2025-04-02],#done; Power grids; Graph neural networks; Unsupervised learning; Neural-networks; Power flow; Power flow problem; Power flows; Electric load flow; Power flow analyze; notion; Electric power transmission networks; Complex networks; Numerical methods; Flow graphs; Network-based approach; Physics-informed neural networks; Physic-informed neural network; Electricity system; Newton-Raphson's method; #grid-analysis
2022,"López-Cardona, Ángela; Bernárdez, Guillermo; Barlet-Ros, Pere; Cabellos-Aparicio, Albert",Proximal Policy Optimization with Graph Neural Networks for Optimal Power Flow,http://arxiv.org/abs/2212.12470,12/23/22,4 citations (Semantic Scholar/arXiv) [2025-04-09] 4 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2212.12470 [cs],#done; notion; #optimization-control
2023,"Liu, Yigu; Xie, Haiwei; Presekal, Alfan; Stefanov, Alexandru; Palensky, Peter",A GNN-Based Generative Model for Generating Synthetic Cyber-Physical Power System Topology,https://ieeexplore.ieee.org/abstract/document/10214388,2023-11,5 citations (Semantic Scholar/DOI) [2025-04-09] 6 citations (Crossref/DOI) [2025-04-07] 6 citations (Crossref/DOI) [2025-04-07] 6 citations (Crossref) [2025-04-02] Conference Name: IEEE Transactions on Smart Grid,#done; notion; #grid-analysis
2024,"Liu, Y.; Wang, X.; Guo, Y.; Wang, R.",Research on the Application of Graph Neural Network in Topology Optimization of Distribution Network,,2024,1 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Network topology; Neural network models; Power distribution networks; distribution network; Power; Distribution network topology; Graph neural network; Graph structured data; loss function; Loss functions; Neural network model; Neural-networks; Processing graphs; smart grid; Smart grid; Topology optimisation; topology optimization; #optimization-control
2021,"Liu, Shaohui; Wu, Chengyang; Zhu, Hao",Graph Neural Networks for Learning Real-Time Prices in Electricity Market,http://arxiv.org/abs/2106.10529,6/19/21,"10 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2106.10529 [cs, eess, math]",#done; notion; #forecasting
2024,"Liu, B.; Zhang, C.; Dong, J.; Balaprakash, P.; Liu, Y.; Eiffert, B.",Enhancing Power Distribution System Resilience with Fusion-GNN: A Dynamic Graph Representation Learning Approach,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; graph neural networks; Graph neural networks; Power distribution networks; Power; Power system; Graph representation; Resilience; Learning approach; power systems; Dynamic graph; Power-distribution system; DC distribution systems; network reconfiguration; Networks reconfiguration; resilience; System resiliences; #faults-reliability
2021,"Lin, Weixuan; Wu, Di; Boulet, Benoit",Spatial-Temporal Residential Short-Term Load Forecasting via Graph Neural Networks,https://ieeexplore.ieee.org/abstract/document/9468666,2021-11,120 citations (Semantic Scholar/DOI) [2025-04-09] 134 citations (Crossref/DOI) [2025-04-07] 133 citations (Crossref) [2025-04-02] Conference Name: IEEE Transactions on Smart Grid,#done; graph neural networks; Graph neural networks; Forecasting; Electric power plant loads; Short term load forecasting; notion; Neural networks; Electric power transmission networks; Electric load forecasting; Houses; Spatial dependencies; Forecasting accuracy; Residential load forecasting; Consumption patterns; Geographic information; spatialoral; Temporal information; #forecasting
2021,"Liao, Wenlong; Yang, Dechang; Wang, Yusen; Ren, Xiang",Fault Diagnosis of Power Transformers Using Graph Convolutional Network,http://www.scopus.com/inward/record.url?scp=85103297592&partnerID=8YFLogxK,2021,92 citations (Semantic Scholar/DOI) [2025-04-09] 41 citations (Crossref/DOI) [2025-04-07] 41 citations (Crossref) [2025-04-02],#done; #faults-reliability
2024,"Li, Xinjia; Zhu, Zixu; Zhang, Chongchao; Zhang, Yangrui; Liu, Mengjia; Wang, Liming",Power data analysis and mining technology in smart grid,https://doi.org/10.1186/s42162-024-00392-6,9/30/24,6 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Power grids; Smart grid; Data accuracy; Data mining; Efficient analysis; Grid model; Grid state; Load forecasting; Mining technology; Power data; Power data analysis; Power data analyze; Resources optimization; #data-management
2024,"Li, Xianzhen; Qin, Wenping; Zhu, Zhilong; Lu, Ruipeng; Qin, Penghui; Cui, Junjie",A Transient Angle Stability Assessment Method for DFIG Grid-Connected Systems Based on Heterogeneous Graph Attention Networks,https://ieeexplore.ieee.org/document/10532428/?arnumber=10532428,2024-04,15 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Deep learning; attention mechanism; Attention mechanisms; Topology; Smart power grids; Heterogeneous graph; Electric power system control; Electric power system stability; Transients; Stability assessment; Electric fault currents; Angle stability; Transient angle stability; Asynchronous generators; DFIG; Doubly fed induction generators; heterogeneous graph neural network; Heterogeneous graph neural network; hybrid simulation; Hybrid simulation; Oscillators (electronic); transient angle stability; Transient time; #faults-reliability
2024,"Li, X.; Wei, X.; Liu, Z.; Xie, S.; Sun, J.; Qin, H.; Wei, Z.",SFLGNN: Power Load Forecasting Based on Spectral-Frequency Learning and Graph Neural Network,,2024,0 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Graph neural networks; graph neural network; Representation learning; Power load forecasting; Power load; Learning neural networks; Load data; Network power; power load forecasting; representation learning; Spectral frequency; Temporal correlations; tensor factorization; Tensor factorization; #forecasting
2022,"Li, Qian; Li, Jianxin; Wang, Lihong; Ji, Cheng; Hei, Yiming; Sheng, Jiawei; Sun, Qingyun; Xue, Shan; Xie, Pengtao",Type Information Utilized Event Detection via Multi-Channel GNNs in Electrical Power Systems,http://arxiv.org/abs/2211.08168,11/15/22,8 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2211.08168 [cs],#done; notion; #faults-reliability
2024,"Li, P.; Huang, W.; Li, X.; Dai, Z.; Hou, J.; Feng, Q.",A Novel State Estimation Method Based on Cross-Track Graph Neural Network,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Network topology; Cross networks; Cross track; Graph algorithms; Graph Neural Network; Graph-based; Load fluctuations; Networks/graphs; Phasor measurement units; Phasor Measurement Units; Phasors; Power system state estimation; State Estimation; State estimation methods; Track graphs; Velocity measurement; #grid-analysis
2024,"Li, Chen; Kies, Alexander; Zhou, Kai; Schlott, Markus; Sayed, Omar El; Bilousova, Mariia; Stöcker, Horst",Optimal Power Flow in a highly renewable power system based on attention neural networks,https://www.sciencedirect.com/science/article/pii/S0306261924001624,4/1/24,7 citations (Semantic Scholar/DOI) [2025-04-09] 8 citations (Crossref/DOI) [2025-04-07] 7 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
2024,"Li, Bingheng; Yang, Linxin; Chen, Yupeng; Wang, Senmiao; Chen, Qian; Mao, Haitao; Ma, Yao; Wang, Akang; Ding, Tian; Tang, Jiliang; Sun, Ruoyu",PDHG-Unrolled Learning-to-Optimize Method for Large-Scale Linear Programming,http://arxiv.org/abs/2406.01908,6/6/24,4 citations (Semantic Scholar/arXiv) [2025-04-09] 4 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2406.01908 [cs] version: 2,#done; #optimization-control
2022,"Lee, Xian Yeow; Sarkar, Soumik; Wang, Yubo",A graph policy network approach for Volt-Var Control in power distribution systems,https://www.sciencedirect.com/science/article/pii/S0306261922008479,10/1/22,28 citations (Semantic Scholar/DOI) [2025-04-09] 15 citations (Crossref/DOI) [2025-04-07] 15 citations (Crossref/DOI) [2025-04-07] 15 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
2022,"Kundacina, Ognjen; Cosovic, Mirsad; Vukobratovic, Dejan",State Estimation in Electric Power Systems Leveraging Graph Neural Networks,http://arxiv.org/abs/2201.04056,6/12/22,"25 citations (Semantic Scholar/DOI) [2025-11-26] 23 citations (Semantic Scholar/arXiv) [2025-04-09] 23 citations (Semantic Scholar/DOI) [2025-04-09] 14 citations (Crossref/DOI) [2025-04-07] 14 citations (Crossref) [2025-04-02] arXiv:2201.04056 [cs, eess, math]",#done; notion; #grid-analysis
2022,"Kundacina, Ognjen; Cosovic, Mirsad; Vukobratovic, Dejan",Robust and Fast Data-Driven Power System State Estimator Using Graph Neural Networks,http://arxiv.org/abs/2206.02731,6/6/22,2 citations (Semantic Scholar/DOI) [2025-11-26] 1 citations (Semantic Scholar/arXiv) [2025-04-09] 1 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2206.02731 [cs],#done; notion; #grid-analysis
2022,"Kundacina, Ognjen; Cosovic, Mirsad; Miskovic, Dragisa; Vukobratovic, Dejan",Distributed Nonlinear State Estimation in Electric Power Systems using Graph Neural Networks,http://arxiv.org/abs/2207.11465,9/8/22,"4 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2207.11465 [cs, eess]",#done; notion; #grid-analysis
2024,"Kumar, P.; Purushothaman, K.E.; Arunmozhi, R.V.; Jayachitra, S.; Rani, D.L.; Kaliappan, S.",Fault Detection in Solar Power System with Internet of Things using Multi resolution Sinusoidal Neural Network - Snow Geese Optimization Approach,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Power; Neural-networks; Long short-term memory; Power system; Optimisations; Mean square error; Faults detection; Kalman filters; Architecture; Arctic buildings; Beams and girders; Brick buildings; Building materials; Concrete buildings; Dams; Fault Detection; Log-normal; Model buildings; Multiresolution; Multiresolution sinusoidal neural network; Multiresolution Sinusoidal Neural Network; Overhead lines; Religious buildings; Reverse lognormal kalman filter; Reverse Lognormal Kalman Filter; Snow Geese Optimization; Snow goose; Snow goose optimization; Water towers; Wooden buildings; #faults-reliability
2023,"Yu, T.; Wang, Q.; Chu, H.; Xiong, X.; Huang, K.; Qiu, R.; Hu, B.; Yan, H.; Wang, F.; Bai, Y.; Wang, S.; Qi, J.; Liu, S.; Shi, D.; IEEE",Self-Supervised State Calculation for Distribution Network via Masked Graph Reconstruction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192366811&doi=10.1109%2fIAECST60924.2023.10503431&partnerID=40&md5=03c44647e1b562178bddb53ff0abdd43,2023,"0 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02] Journal Abbreviation: Int. Acad. Exch. Conf. Sci. Technol. Innov., IAECST",#done; Graph neural networks; distribution network; Power; Safe operation; Electric power distribution; Graph theory; Heterogeneous graph; #Check; graph; Graph; mask reconstruction; Mask reconstruction; Network status; Power demands; Real time systems; self-supervised; Self-supervised; state calculation; State calculation; #grid-analysis
2024,"Yin, T.; Naqvi, S.A.R.; Nandanoori, S.P.; Kundu, S.",Advancing Cyber-Attack Detection in Power Systems: A Comparative Study of Machine Learning and Graph Neural Network Approaches,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203378898&doi=10.1109%2fRWS62797.2024.10799283&partnerID=40&md5=9a2acd69d28148c9453ed5b6835875ea,2024,"7 citations (Semantic Scholar/DOI) [2025-11-26] 2 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] Journal Abbreviation: Resil. Week, RWS",#done; Graph neural networks; graph neural network; Power; Anomaly detection; Cyber attacks; Phishing; Multivariate time series; Cyber-attacks; Machine-learning; Times series; K-means; multivariate time series anomaly detection; Multivariate time series anomaly detection; Power system cybe-attack; power system cyber-attack; #cybersecurity
2023,"Ye, X.; Chen, Z.; Huang, Y.; Zhu, T.; Wei, W.; Liao, B.; Jiang, A.; Chongqing Society of Electrical Engineering; Sichuan University; Southwest Jiaotong University; State Grid Sichuan Electric Power Company",Switching Convolution of Node Graph and Line Graph-driven Method for Fast Static Security Analysis,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163303478&doi=10.1109%2fPandaFPE57779.2023.10140691&partnerID=40&md5=771b9baae80d0d77147aa38749f8c289,2023,"4 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02] Journal Abbreviation: Proc. - Panda Forum Power Energy, PandaFPE",#done; Graph neural networks; Network topology; Neural-networks; Deep learning; Power flows; Electric load flow; deep learning; Contingency analysis; Flow graphs; #Check; Credible contingency analyse; credible contingency analysis; graphic neural network; Graphic neural network; Load sources; New energies; power flow calculation; Power flow calculations; Source data; #faults-reliability
2023,"Yang, Y.; Guo, J.; Li, Y.; Zhou, J.",Forecasting day-ahead electricity prices with spatial dependence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178645789&doi=10.1016%2fj.ijforecast.2023.11.006&partnerID=40&md5=9f168fa905a05970e74cf5a63add415f,2023,5 citations (Semantic Scholar/DOI) [2025-04-09] 1 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02] Publisher: Elsevier B.V.,#done; Graph Neural Network; Forecasting; #Check; Electricity price; R-vine copula; Spatial dependence; #forecasting
2022,"Yang, W.; Gao, P.; Huang, H.; Wei, X.; Zhang, H.; Qu, Z.",Advanced Persistent Threat Detection in Smart Grid Clouds Using Spatiotemporal Context-Aware Graph Embedding,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146950717&doi=10.1109%2fGLOBECOM48099.2022.10001486&partnerID=40&md5=7878d810cfab5410ed0485d27a9ef067,2022,"5 citations (Semantic Scholar/DOI) [2025-04-09] 3 citations (Crossref/DOI) [2025-04-07] 3 citations (Crossref) [2025-04-02] Journal Abbreviation: Proc. - IEEE Glob. Commun. Conf., GLOBECOM",#done; Graph neural networks; Graph neural network; Smart grid; Advanced persistent threat; Anomaly detection; Threat detection; Graphic methods; Smart power grids; Graph structures; Heterogeneous graph; Embeddings; #Check; Graph embeddings; Advanced persistent threat (APT); Context-Aware; Continuous time systems; Dynamic heterogeneous network; Heterogeneous networks; Many-core; #cybersecurity
2022,"Yang, Q.; Sadeghi, A.; Wang, G.",Data-Driven Priors for Robust PSSE via Gauss-Newton Unrolled Neural Networks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122874699&doi=10.1109%2fJETCAS.2022.3142051&partnerID=40&md5=e29c750b9911c1ec4bb2a908033dbcaa,2022,13 citations (Semantic Scholar/DOI) [2025-04-09] 10 citations (Crossref/DOI) [2025-04-07] 10 citations (Crossref) [2025-04-02] Publisher: Institute of Electrical and Electronics Engineers Inc.,#done; Power; Neural-networks; Topology; Deep neural networks; Power measurement; Renewable energy resources; State estimation; Optimization; Robust optimization; Real time systems; Robustness; Benchmarking; deep prior; Deep prior; Gauss Newton; Gauss-newton unrolled neural network; Gauss-Newton unrolled neural networks; Gaussian distribution; Image denoising; Interactive computer systems; Least squares approximations; Minimisation; Newton-Raphson method; Real - Time system; robust optimization; Robustness (control systems); #grid-analysis
2024,"Yang, L.; Tsung, F.; Wang, K.; Zhou, J.",Wind Power Forecasting Based on a Spatial-Temporal Graph Convolution Network with Limited Engineering Knowledge,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187379332&doi=10.1109%2fTIM.2024.3374321&partnerID=40&md5=cbeec9be7c738cc0566e7d63c3a4b826,2024,2 citations (Semantic Scholar/DOI) [2025-04-09] 1 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02] Conference Name: IEEE Transactions on Instrumentation and Measurement,#done; Time series analysis; Graph neural networks; Wind power generation; Wind turbines; Multivariate time series; Wind forecasting; Convolution; Wind power forecasting; notion; Wind power; graph neural network (GNN); Weather forecasting; Power generation; Semantics; Knowledge management; Time-series analysis; Time series forecasting; Engineering knowledge; hierarchical data; Hierarchical data; Multivariate time series forecasting; multivariate time-series forecasting; wind power forecasting; #forecasting
2021,"Xie, L.; Pi, D.; Zhang, X.; Chen, J.; Luo, Y.; Yu, W.",Graph neural network approach for anomaly detection,,2021,56 citations (Semantic Scholar/DOI) [2025-04-09] 52 citations (Crossref/DOI) [2025-04-07] 52 citations (Crossref) [2025-04-02] Publisher: Elsevier B.V.,#done; Graph neural networks; Graph neural network; Anomaly detection; Data mining; #Check; Extraction; Satellites; Anomaly detection methods; Dynamic threshold; Global positioning system; Long-time operation; Maintenance efficiency; Network thresholds; Neural dynamics; Neural network modelling; Telemetering equipment; Telemetry data; #faults-reliability
2024,"Xia, W.; Li, Y.; Yu, L.; He, D.",Locational Detection of False Data Injection Attacks in the Edge Space via Hodge Graph Neural Network for Smart Grids,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190721510&doi=10.1109%2fTSG.2024.3389948&partnerID=40&md5=99f8bd7fe5342f5598f854bbc2278347,2024,6 citations (Semantic Scholar/DOI) [2025-04-09] 7 citations (Crossref/DOI) [2025-04-07] 6 citations (Crossref) [2025-04-02] Publisher: Institute of Electrical and Electronics Engineers Inc.,#done; Signal processing; Graph neural networks; Power systems; Power; Graph neural network; Smart grid; Network security; Vectors; Power system; Electric load flow; False data injection attacks; notion; Smart power grids; Cyber security; Cybersecurity; Graph signal processing; Signal-processing; graph neural network (GNN); Support vector machines; Support vectors machine; Flow graphs; Smart grids; Image edge detection; Location; false data injection attacks (FDIAs); Detectors; Graph Neural Network (GNN); False data injection attack; False data injection attacks (FDIAs); Edge space; Graph signal processing (GSP); Hodge theory; Laplace equations; Laplace transforms; Situational awareness; Vector spaces; situational awareness; cyber security; edge space; graph signal processing (GSP); #cybersecurity
2022,"Wu, Z.; Wang, Q.; Liu, X.; China Electrotechnical Society (CES); Institute of Electrical nd Electronics Engineers (IEEE) Beijing Section; Southeast University (SEU)",State Estimation for Power System Based on Graph Neural Network,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137347829&doi=10.1109%2fCIEEC54735.2022.9845829&partnerID=40&md5=9c25514668aff0e95e2d228e11aff8c1,2022,"6 citations (Semantic Scholar/DOI) [2025-04-09] 5 citations (Crossref/DOI) [2025-04-07] 5 citations (Crossref) [2025-04-02] Journal Abbreviation: Proc. IEEE Int. Electr. Energy Conf., CIEEC",#done; Power grids; Graph neural networks; Power; Graph neural network; Power system state estimation; Deep learning; notion; Measurement data; Electric power transmission networks; State estimation; Artificial intelligence; Data acquisition; Clean energy; Electric power system measurement; System measurement; Time section; Time-resolution; #grid-analysis
2022,"Wu, Z.; Wang, Q.; Hu, J.; Tang, Y.; Zhang, Y.",Integrating model-driven and data-driven methods for fast state estimation,,2022,12 citations (Semantic Scholar/DOI) [2025-04-09] 9 citations (Crossref/DOI) [2025-04-07] 9 citations (Crossref) [2025-04-02] Publisher: Elsevier Ltd,#done; Graph neural networks; Power; Data-driven methods; Topology; Data driven; Renewable energy resources; State estimation; Data-driven; #Check; Dynamic edge condition; Edge conditions; Fast state; Fast state estimation; Graph convolution network; Model-driven; Modeling data; #grid-analysis
